> CRF
121.4003 23.4914 90.3064
121.3986 23.4896 89.6178
121.3969 23.4879 88.9291
121.3951 23.4861 88.2405
121.3934 23.4844 87.5519
121.3916 23.4826 86.8633
121.3899 23.4808 86.1747
121.3881 23.4791 85.4861
121.3864 23.4773 84.7975
121.3847 23.4756 84.1089
121.3829 23.4738 83.4203
121.3812 23.4720 82.7317
121.3794 23.4703 82.0430
121.3777 23.4685 81.3544
121.3759 23.4668 80.6658
121.3742 23.4650 79.9772
121.3725 23.4632 79.2886
121.3707 23.4615 78.6000
121.3690 23.4597 77.9114
121.3672 23.4580 77.2228
121.3655 23.4562 76.5342
121.3643 23.4543 76.0600
121.3631 23.4524 75.5859
121.3619 23.4505 75.1118
121.3607 23.4486 74.6376
121.3595 23.4466 74.1635
121.3583 23.4447 73.6894
121.3571 23.4428 73.2152
121.3559 23.4409 72.7411
121.3547 23.4390 72.2670
121.3535 23.4371 71.7928
121.3523 23.4352 71.3187
121.3511 23.4333 70.8445
121.3499 23.4314 70.3704
121.3487 23.4295 69.8963
121.3475 23.4276 69.4221
121.3463 23.4256 68.9480
121.3451 23.4237 68.4739
121.3439 23.4218 67.9997
121.3427 23.4199 67.5256
121.3415 23.4180 67.0515
121.3406 23.4159 66.7003
121.3397 23.4139 66.3491
121.3388 23.4118 65.9979
121.3379 23.4098 65.6467
121.3370 23.4077 65.2955
121.3361 23.4057 64.9443
121.3352 23.4036 64.5931
121.3343 23.4016 64.2420
121.3334 23.3995 63.8908
121.3325 23.3974 63.5396
121.3317 23.3954 63.1884
121.3308 23.3933 62.8372
121.3299 23.3913 62.4860
121.3290 23.3892 62.1348
121.3281 23.3872 61.7836
121.3272 23.3851 61.4324
121.3263 23.3831 61.0813
121.3254 23.3810 60.7301
121.3245 23.3789 60.3789
121.3236 23.3769 60.0277
121.3229 23.3748 59.7279
121.3221 23.3727 59.4281
121.3214 23.3707 59.1283
121.3206 23.3686 58.8285
121.3198 23.3665 58.5287
121.3191 23.3644 58.2289
121.3183 23.3624 57.9291
121.3175 23.3603 57.6293
121.3168 23.3582 57.3295
121.3160 23.3561 57.0297
121.3153 23.3541 56.7299
121.3145 23.3520 56.4301
121.3137 23.3499 56.1303
121.3130 23.3478 55.8305
121.3122 23.3458 55.5307
121.3115 23.3437 55.2309
121.3107 23.3416 54.9311
121.3099 23.3395 54.6313
121.3092 23.3375 54.3315
121.3084 23.3354 54.0317
121.3075 23.3332 53.6700
121.3066 23.3310 53.3084
121.3057 23.3288 52.9467
121.3047 23.3266 52.5850
121.3038 23.3244 52.2234
121.3029 23.3222 51.8617
121.3020 23.3201 51.5000
121.3011 23.3179 51.1384
121.3002 23.3157 50.7767
121.2993 23.3135 50.4151
121.2983 23.3113 50.0534
121.2974 23.3091 49.6917
121.2965 23.3069 49.3301
121.2956 23.3047 48.9684
121.2947 23.3025 48.6068
121.2938 23.3004 48.2451
121.2928 23.2982 47.8834
121.2919 23.2960 47.5218
121.2910 23.2938 47.1601
121.2901 23.2916 46.7985
121.2892 23.2894 46.8062
121.2884 23.2872 46.8140
121.2875 23.2849 46.8217
121.2867 23.2827 46.8294
121.2858 23.2805 46.8372
121.2850 23.2783 46.8449
121.2841 23.2761 46.8527
121.2833 23.2739 46.8604
121.2824 23.2716 46.8682
121.2816 23.2694 46.8759
121.2807 23.2672 46.8837
121.2799 23.2650 46.8914
121.2790 23.2628 46.8992
121.2782 23.2606 46.9069
121.2773 23.2583 46.9147
121.2765 23.2561 46.9224
121.2756 23.2539 46.9302
121.2748 23.2517 46.9379
121.2739 23.2495 46.9457
121.2731 23.2473 46.9534
121.2720 23.2451 46.9627
121.2710 23.2429 46.9720
121.2700 23.2407 46.9812
121.2690 23.2385 46.9905
121.2680 23.2364 46.9998
121.2669 23.2342 47.0091
121.2659 23.2320 47.0183
121.2649 23.2298 47.0276
121.2639 23.2276 47.0369
121.2629 23.2255 47.0462
121.2619 23.2233 47.0554
121.2608 23.2211 47.0647
121.2598 23.2189 47.0740
121.2588 23.2168 47.0833
121.2578 23.2146 47.0925
121.2568 23.2124 47.1018
121.2558 23.2102 47.1111
121.2547 23.2080 47.1203
121.2537 23.2059 47.1296
121.2527 23.2037 47.1389
121.2515 23.2016 47.1502
121.2502 23.1995 47.1615
121.2490 23.1974 47.1729
121.2477 23.1953 47.1842
121.2465 23.1932 47.1955
121.2453 23.1911 47.2068
121.2440 23.1890 47.2181
121.2428 23.1869 47.2295
121.2415 23.1848 47.2408
121.2403 23.1827 47.2521
121.2391 23.1806 47.2634
121.2378 23.1785 47.2748
121.2366 23.1764 47.2861
121.2353 23.1743 47.2974
121.2341 23.1722 47.3087
121.2329 23.1701 47.3200
121.2316 23.1680 47.3314
121.2304 23.1659 47.3427
121.2291 23.1637 47.3540
121.2279 23.1616 47.3653
121.2270 23.1594 47.3736
121.2261 23.1572 47.3819
121.2252 23.1550 47.3902
121.2243 23.1527 47.3984
121.2234 23.1505 47.4067
121.2225 23.1483 47.4150
121.2215 23.1461 47.4233
121.2206 23.1438 47.4315
121.2197 23.1416 47.4398
121.2188 23.1394 47.4481
121.2179 23.1372 47.4564
121.2170 23.1350 47.4646
121.2161 23.1327 47.4729
121.2152 23.1305 47.4812
121.2143 23.1283 47.4895
121.2134 23.1261 47.4977
121.2125 23.1238 47.5060
121.2116 23.1216 47.5143
121.2107 23.1194 47.5226
